JobCode,Job_Function,Band,Level,Band_Level,SalaryOrgCount,SalaryIncCount,Salary25th,SalaryAvg,Salary50th,Salary75th,Salary_PerfIncentiveOrgCount,Salary_PerfIncentiveIncCount,Salary_PerfIncentive25th,Salary_PerfIncentiveAvg,Salary_PerfIncentive50th,Salary_PerfIncentive75th,PerfIncentive_PctofSalary_OrgCount,PerfIncentive_PctofSalary_IncumbentCount,PerfIncentive_PctOfSalary25th,PerfIncentive_PctOfSalaryAvg,PerfIncentive_PctOfSalary50th,PerfIncentive_PctOfSalary75th,,,,
AAA-P4,AAA,P,4,P4,8,114,81458.42,97894.99,95555.30,118641.61,7,94,87915.51,107453.15,109140.16,132827.06,7,94,8.11430%,9.77150%,9.88190%,11.70720%,,,,
AAA-P5,AAA,P,5,P5,6,78,119990.33,145291.70,143955.02,155862.23,5,65,134705.89,167542.33,170842.91,192910.06,5,65,11.23145%,12.88753%,13.08599%,16.19575%,,,,
AAA-T1,AAA,T,1,T1,6,61,32754.29,39665.67,38852.53,47326.53,,,,,,,,,,,,,,,,
AAA-T2,AAA,T,2,T2,7,74,48080.58,46828.88,47250.34,62566.88,,,,,,,,,,,,,,,,
AAA-T3,AAA,T,3,T3,8,89,53628.32,64220.00,64329.18,80233.07,5,58,56558.07,68577.92,66609.73,85842.59,5,53,4.60810%,5.47160%,5.22166%,6.52365%,,,,
AAA-T4,AAA,T,4,T4,8,93,62113.71,81039.43,80707.17,97978.45,6,82,66460.16,86967.30,84236.53,106621.53,6,91,6.42196%,6.84337%,7.79383%,8.43577%,,,,
AAA-T5,AAA,T,5,T5,6,75,88899.51,100191.42,100461.93,124545.25,,,,,,,,,,,,,,,,
AAB-A1,AAB,A,1,A1,29,391,31753.14,39487.21,38989.67,42227.71,6,62,32809.44,41121.75,40870.91,44011.96,5,66,3.62535%,3.97983%,4.27886%,4.60725%,,,,
AAB-A2,AAB,A,2,A2,26,265,40547.92,46211.68,44645.11,48475.54,8,63,42108.26,48434.09,48550.33,51740.34,7,65,4.23150%,4.83773%,5.30103%,6.72821%,,,,
AAB-A3,AAB,A,3,A3,32,362,41880.12,53649.62,53794.47,56467.85,8,78,43571.56,56360.93,56597.65,59899.63,8,76,4.13596%,5.27145%,5.51422%,6.36310%,,,,
AAB-A4,AAB,A,4,A4,22,294,54610.25,63162.85,64274.51,61708.36,7,59,57126.70,66502.67,67407.10,66893.09,8,65,4.53767%,5.45623%,5.92717%,8.06177%,,,,
AAB-A5,AAB,A,5,A5,18,262,62849.00,71400.18,71821.44,64122.29,6,45,65749.26,75813.86,76602.33,69324.49,7,55,4.64531%,6.46612%,6.72076%,8.18415%,,,,
AAB-L1,AAB,L,1,L1,22,219,81438.15,97487.48,96268.89,103464.02,17,152,87316.89,105490.63,104836.59,113001.22,17,152,6.88932%,8.23785%,8.18021%,9.27416%,,,,
AAB-L2,AAB,L,2,L2,25,291,100844.36,109702.32,106893.94,141307.32,22,250,109158.89,121528.51,118794.12,162215.50,22,250,8.04053%,10.00186%,10.01190%,13.48448%,,,,
AAB-L3,AAB,L,3,L3,28,284,110477.01,147686.31,149177.94,166875.67,26,204,123379.18,169261.09,164081.70,191476.35,26,204,11.30493%,13.60388%,13.38400%,15.21952%,,,,
AAB-L4,AAB,L,4,L4,26,297,164864.06,168871.03,168820.37,204513.87,24,216,190497.86,200589.07,195052.81,256310.43,24,216,17.11253%,20.80000%,20.48000%,26.73000%,,,,
AAB-L5,AAB,L,5,L5,12,28,191225.86,201941.74,196852.81,247286.92,12,23,229612.07,252310.78,249283.06,319205.48,12,23,20.40223%,24.23000%,24.05000%,32.20000%,,,,
AAB-O1,AAB,O,1,O1,25,368,25076.55,29307.12,28975.95,32784.30,5,64,25826.77,30367.25,30139.49,34305.90,5,64,3.01650%,3.46560%,3.52590%,3.93100%,,,,
AAB-O2,AAB,O,2,O2,26,253,29228.08,35097.97,35104.99,38457.86,7,61,30179.02,36775.98,36522.22,40723.73,7,61,3.37650%,4.20910%,4.26340%,5.68900%,,,,
AAB-O3,AAB,O,3,O3,27,336,31736.19,40613.05,41287.23,44192.15,7,80,32709.20,42546.69,42921.11,46111.08,7,80,3.62190%,4.58870%,4.55660%,5.08340%,,,,
AAB-O4,AAB,O,4,O4,22,268,38638.82,46322.86,45558.53,47117.80,7,61,39829.70,48433.59,48515.92,50748.89,7,61,3.98300%,4.78730%,4.83610%,6.47480%,,,,
AAB-O5,AAB,O,5,O5,15,177,44691.3125,52657.2753,53684.09,55436.0651,5,43,51435.37,62636.86,63112.90,65390.89,5,46,4.71866%,5.38332%,5.60020%,7.28998%,,,,
AAB-P1,AAB,P,1,P1,26,261,48839.13,63658.09,63479.84,67395.63,15,158,50883.47,67019.22,65511.28,72284.13,15,158,4.38080%,5.08570%,5.12990%,7.13780%,,,,
AAB-P2,AAB,P,2,P2,25,281,64709.14,74054.55,73136.28,91256.77,16,135,68833.48,79557.33,81172.34,100185.02,16,135,5.76180%,7.09320%,7.04780%,8.73670%,,,,
AAB-P3,AAB,P,3,P3,28,423,77471.96,86500.63,85981.62,102315.22,21,296,81603.25,92833.95,94291.45,112026.94,21,296,5.74450%,7.41890%,7.53760%,9.13040%,,,,
AAB-P4,AAB,P,4,P4,29,355,94285.87,123910.85,122300.01,129527.77,24,232,102274.13,138678.99,141036.53,150639.68,24,232,9.32980%,11.91240%,12.07920%,16.99420%,,,,
AAB-P5,AAB,P,5,P5,22,255,140760.04,141860.14,139845.72,184345.42,19,195,151422.90,168850.28,171416.80,236541.39,19,195,11.55603%,14.86309%,14.75314%,21.22297%,,,,
AAB-T1,AAB,T,1,T1,24,253,42715.75,50582.25,49666.72,56245.38,14,140,44293.36,52709.33,51723.66,59504.59,11,135,3.85598%,4.24809%,4.46968%,5.81088%,,,,
AAB-T2,AAB,T,2,T2,20,259,47355.18,56740.49,56309.26,77848.87,14,107,49567.48,60102.75,60733.83,83431.10,13,113,4.50112%,5.94410%,5.69462%,7.51793%,,,,
AAB-T3,AAB,T,3,T3,27,334,54263.34,69017.94,69804.74,86156.73,17,283,57395.69,73828.41,74293.53,93807.77,19,282,5.05459%,6.47967%,5.84089%,8.14888%,,,,
AAB-T4,AAB,T,4,T4,26,340,77900.26,91205.88,88779.81,105181.54,23,225,83227.10,100476.64,101622.07,118753.37,18,222,6.53844%,9.13861%,9.81905%,12.22290%,,,,
AAB-T5,AAB,T,5,T5,18,251,95621.37,113060.56,110358.41,137162.75,17,154,105477.58,127772.42,127146.33,161253.70,15,156,9.63655%,11.83512%,11.47076%,16.53658%,,,,
AAC-A1,AAC,A,1,A1,50,898,37620.04,47976.38,46570.67,49591.70,11,137,38976.76,49997.25,48542.33,52580.26,11,150,3.95176%,4.65131%,4.51599%,6.57036%,,,,
AAC-A2,AAC,A,2,A2,53,498,45033.54,52843.56,53134.20,53735.27,14,131,47029.02,55813.78,53882.63,58070.11,12,112,4.67859%,6.11487%,6.14575%,7.92283%,,,,
AAC-A3,AAC,A,3,A3,52,548,47443.21,59979.49,59103.79,63780.04,15,120,49973.54,63649.18,62140.70,68405.41,16,146,5.31480%,6.60360%,6.23408%,8.04355%,,,,
AAC-A4,AAC,A,4,A4,49,484,55447.16,64288.03,62957.27,69717.29,12,151,58613.51,68393.75,67477.27,75597.94,13,140,5.63006%,6.58193%,6.76263%,9.19446%,,,,
AAC-A5,AAC,A,5,A5,40,427,57536.30,67849.74,67028.76,84376.11,10,135,60439.48,72439.87,73323.63,93627.65,10,119,5.54729%,6.91096%,7.80786%,10.57648%,,,,
AAC-L1,AAC,L,1,L1,42,490,92802.97,107677.62,109788.11,116358.06,33,380,100671.25,118385.81,119321.05,129788.80,33,380,8.27083%,9.48056%,9.46258%,12.10478%,,,,
AAC-L2,AAC,L,2,L2,48,589,114942.03,133514.44,134622.61,158326.76,43,452,126675.24,147484.32,150581.49,182409.66,43,452,9.49021%,10.99935%,11.08071%,15.41894%,,,,
AAC-L3,AAC,L,3,L3,55,750,136187.23,154636.06,149981.51,177507.39,51,578,153089.42,181649.87,176799.81,209503.00,51,578,12.90927%,15.88872%,15.09524%,17.18888%,,,,
AAC-L4,AAC,L,4,L4,52,483,176969.16,186423.35,182508.46,233140.31,47,395,211055.36,229560.78,229331.22,295730.05,47,395,19.83635%,22.89000%,21.66000%,25.71000%,,,,
AAC-L5,AAC,L,5,L5,24,65,220857.50,223299.19,227564.21,298972.04,23,62,274461.25,279928.76,270299.21,390076.60,23,62,23.18344%,27.97000%,27.67000%,30.15000%,,,,
AAC-O1,AAC,O,1,O1,49,766,28268.88,34880.24,33889.64,36380.68,11,142,28659.96,36648.82,35637.31,38671.27,11,142,3.37870%,3.97640%,3.94220%,5.28780%,,,,
AAC-O2,AAC,O,2,O2,50,462,34973.98,40578.43,40432.35,41841.16,13,117,35995.30,42143.53,41768.45,44169.02,13,117,3.86520%,4.82310%,4.89740%,6.93750%,,,,
AAC-O3,AAC,O,3,O3,53,555,37622.28,44235.85,43687.32,47516.33,15,128,39477.96,47090.85,47604.14,49918.37,15,128,4.42130%,5.27980%,5.30140%,6.99050%,,,,
AAC-O4,AAC,O,4,O4,44,485,40537.20,48191.32,47776.88,53279.73,13,140,42119.14,51088.67,50552.24,56262.86,13,140,4.66690%,5.35630%,5.41630%,7.55670%,,,,
AAC-O5,AAC,O,5,O5,36,326,48219.2238,54845.4243,53030.04,64372.353,10,91,55969.07,65495.41,64224.80,76586.08,9,96,5.09066%,6.26152%,6.06030%,8.58290%,,,,
AAC-P1,AAC,P,1,P1,50,531,58323.72,72154.57,71974.19,76742.35,30,282,60986.48,76047.29,74267.79,82926.31,30,282,4.47860%,5.69150%,5.70120%,7.94760%,,,,
AAC-P2,AAC,P,2,P2,50,540,74933.90,80928.49,80799.01,98281.31,31,306,80415.85,88358.43,85796.04,108444.92,31,306,6.15460%,7.94760%,7.98500%,9.72950%,,,,
AAC-P3,AAC,P,3,P3,55,754,79732.78,112309.39,114701.59,115896.09,42,524,85357.28,121173.97,123585.34,127993.79,42,524,6.70550%,8.36300%,8.52690%,10.17190%,,,,
AAC-P4,AAC,P,4,P4,56,730,107525.75,133236.21,132823.18,158058.45,47,566,119012.28,150318.86,149882.93,189066.02,47,566,10.55800%,13.23560%,13.13240%,18.86870%,,,,
AAC-P5,AAC,P,5,P5,44,496,166349.73,168382.81,168433.32,207443.79,37,374,188036.80,195098.70,197088.71,245363.07,37,374,13.61788%,16.86848%,17.02201%,18.30571%,,,,
AAC-T1,AAC,T,1,T1,43,453,50823.99,61972.47,62183.18,62846.03,29,274,52697.55,64814.26,62571.69,67100.50,25,272,3.65096%,4.74500%,4.97316%,6.64737%,,,,
AAC-T2,AAC,T,2,T2,41,418,57094.91,68520.76,69617.09,80366.98,25,266,59618.30,73012.26,70595.55,86308.31,30,297,4.64980%,6.65612%,6.37363%,7.79333%,,,,
AAC-T3,AAC,T,3,T3,49,742,65507.38,81929.99,80356.94,93187.45,41,494,69672.60,88236.68,88148.44,102215.46,37,450,5.47169%,6.53903%,6.64075%,8.79056%,,,,
AAC-T4,AAC,T,4,T4,43,689,86989.89,102514.47,101345.81,132307.72,44,448,94298.05,112786.26,114929.20,149497.59,45,527,8.53759%,9.63839%,10.36245%,13.61926%,,,,
AAC-T5,AAC,T,5,T5,35,385,127660.21,132521.37,128771.01,143336.98,34,309,140808.31,151219.38,150599.38,166153.74,34,338,9.90316%,13.15192%,14.34011%,15.89808%,,,,
AAD-A1,AAD,A,1,A1,19,277,31986.33,39128.67,37978.29,43970.92,,,,,,,,,,,,,,,,
AAD-A2,AAD,A,2,A2,21,167,40724.81,48072.84,46760.45,51979.20,6,40,42513.92,50532.75,49744.44,55612.31,6,36,4.25282%,5.28239%,5.46471%,6.69882%,,,,
AAD-A3,AAD,A,3,A3,22,190,42471.70,48876.94,48735.19,58050.65,6,55,44293.37,51434.68,50143.67,61726.20,5,56,4.54695%,5.65367%,5.65105%,6.34050%,,,,
AAD-A4,AAD,A,4,A4,18,195,49689.67,61110.60,61990.59,67069.95,5,60,52054.53,64591.63,64107.20,71601.30,5,58,4.61751%,5.93363%,6.07968%,7.42597%,,,,
AAD-A5,AAD,A,5,A5,15,161,54071.63,62830.38,62522.52,68790.48,,,,,,,,,,,,,,,,
AAD-L1,AAD,L,1,L1,16,179,80181.05,94471.38,94688.66,104821.94,12,127,85883.61,102596.03,100215.81,115812.00,12,127,7.04285%,8.46901%,8.52829%,11.03511%,,,,
AAD-L2,AAD,L,2,L2,18,208,97293.47,111357.30,112749.26,129526.37,16,158,106330.91,122339.74,120198.80,146894.32,16,158,8.50018%,9.71000%,9.82653%,12.75505%,,,,
AAD-L3,AAD,L,3,L3,20,260,106457.84,141780.28,143098.84,150438.84,19,240,117713.35,161812.37,165145.71,172326.10,19,240,10.64175%,13.89068%,13.36488%,15.40116%,,,,
AAD-L4,AAD,L,4,L4,19,181,163976.99,170690.75,168420.56,180953.67,17,132,188111.03,203112.67,205814.07,227821.29,17,132,16.09574%,19.40000%,19.66000%,26.63000%,,,,
AAD-L5,AAD,L,5,L5,9,20,189510.13,218353.97,214838.47,239851.04,9,17,226328.59,267767.88,267660.77,313967.58,9,17,18.73865%,23.61000%,23.14000%,29.94000%,,,,
AAD-O1,AAD,O,1,O1,18,242,24659.70,31042.60,31207.12,33206.78,,,,,,,,,,,,,,,,
AAD-O2,AAD,O,2,O2,19,146,30524.58,35087.33,35785.56,38159.87,5,36,31542.48,36609.72,35617.60,40134.92,5,36,3.41030%,4.23530%,4.32000%,5.67230%,,,,
AAD-O3,AAD,O,3,O3,19,187,30571.58,37055.13,37366.39,43523.30,5,49,31864.65,38969.49,39269.55,46060.99,5,49,3.83560%,4.46570%,4.53270%,5.42540%,,,,
AAD-O4,AAD,O,4,O4,16,195,35962.80,45510.14,46047.15,48552.02,5,56,36732.65,47778.38,46985.26,51694.97,5,56,3.78770%,4.79090%,4.81960%,6.53430%,,,,
AAD-O5,AAD,O,5,O5,11,158,42022.3341,50590.2186,49775.72,55959.9945,,,,,,,,,,,,,,,,
AAD-P1,AAD,P,1,P1,19,200,48370.07,62632.57,63521.95,69524.42,11,91,50377.00,65813.91,65412.44,74625.78,11,91,4.30540%,5.12240%,5.19720%,7.03770%,,,,
AAD-P2,AAD,P,2,P2,18,205,66516.93,75706.21,76993.22,88037.21,11,103,70803.46,81258.72,80616.78,96584.59,11,103,5.55430%,6.93510%,6.97530%,8.47260%,,,,
AAD-P3,AAD,P,3,P3,20,258,72957.49,85146.39,83920.28,93120.14,15,157,77130.82,90836.70,89574.07,102281.48,15,157,5.84830%,7.22640%,7.16350%,9.38490%,,,,
AAD-P4,AAD,P,4,P4,21,316,101677.02,111313.17,111713.90,128300.90,17,205,111058.51,123525.64,122858.60,149875.77,17,205,9.05560%,11.51960%,11.46200%,16.44420%,,,,
AAD-P5,AAD,P,5,P5,16,171,145411.03,140292.20,140909.48,164542.96,14,118,161919.64,161975.70,157488.98,203794.43,14,118,13.29590%,15.23192%,15.48782%,18.66367%,,,,
AAD-T1,AAD,T,1,T1,16,161,41384.07,50804.88,49900.55,61894.43,9,89,42660.59,52929.94,52908.76,65437.81,9,80,3.41590%,4.20549%,3.84073%,6.19107%,,,,
AAD-T2,AAD,T,2,T2,18,158,47518.53,58907.87,59938.75,75042.67,10,97,49706.31,62156.18,62398.59,80113.67,9,96,4.74448%,5.30674%,5.29635%,6.52899%,,,,
AAD-T3,AAD,T,3,T3,15,234,60192.48,78079.65,76486.83,86777.74,14,122,63280.83,83725.35,83248.12,93541.51,14,139,4.54004%,6.42572%,5.41632%,7.01427%,,,,
AAD-T4,AAD,T,4,T4,17,268,77492.38,85341.42,84667.22,107592.24,15,195,82708.67,93601.84,92712.62,122379.17,15,196,6.73992%,8.95702%,8.54071%,13.24455%,,,,
AAD-T5,AAD,T,5,T5,14,161,105363.28,115505.09,117757.44,126484.08,13,102,115195.12,128875.34,129068.65,147332.83,11,97,9.64681%,11.09638%,12.69466%,15.57827%,,,,
AAE-A1,AAE,A,1,A1,18,253,33651.12,41526.19,40272.10,43366.00,,,,,,,,,,,,,,,,
AAE-A2,AAE,A,2,A2,17,152,40640.56,48890.16,47721.68,51090.51,,,,,,,,,,,,,,,,
AAE-A3,AAE,A,3,A3,20,205,45875.26,55441.95,53972.73,63047.77,5,58,47987.12,58340.15,58474.33,68239.31,5,61,4.97513%,5.60585%,6.02252%,8.13987%,,,,
AAE-A4,AAE,A,4,A4,16,196,50809.05,69084.64,69519.87,71163.42,,,,,,,,,,,,,,,,
AAE-A5,AAE,A,5,A5,13,164,56521.65,81975.91,79869.13,75421.56,,,,,,,,,,,,,,,,
AAE-L1,AAE,L,1,L1,13,161,87716.00,102118.80,100321.51,115491.36,11,97,94885.45,111101.82,108124.29,130777.82,11,97,7.65163%,9.03382%,8.95256%,12.45314%,,,,
AAE-L2,AAE,L,2,L2,15,189,103554.03,126534.23,127407.32,138775.60,13,145,112909.86,139826.18,135701.30,157612.67,13,145,8.86231%,10.69936%,10.64372%,13.94125%,,,,
AAE-L3,AAE,L,3,L3,17,225,122410.53,148919.66,152076.76,164610.89,16,193,136356.10,170330.96,168218.85,194447.00,16,193,11.47770%,14.42604%,15.22908%,17.16976%,,,,
AAE-L4,AAE,L,4,L4,16,175,170009.99,167355.16,170183.46,207318.76,15,146,198038.55,198993.78,193004.07,258510.48,15,146,15.78403%,20.52000%,21.82000%,26.26000%,,,,
AAE-L5,AAE,L,5,L5,8,19,234891.93,212163.73,212184.95,248327.92,7,15,279929.28,267306.51,272518.99,335528.27,7,15,20.78219%,25.81000%,26.58000%,37.50000%,,,,
AAE-O1,AAE,O,1,O1,16,248,26194.31,32636.08,31647.21,34194.97,,,,,,,,,,,,,,,,
AAE-O2,AAE,O,2,O2,16,148,31318.08,36677.39,37102.84,39941.47,,,,,,,,,,,,,,,,
AAE-O3,AAE,O,3,O3,17,193,33379.83,40393.81,40377.66,45885.00,5,55,35173.49,41720.60,42317.20,48418.65,5,55,4.17020%,4.82610%,4.80200%,6.45100%,,,,
AAE-O4,AAE,O,4,O4,14,175,38405.34,48240.41,46918.63,52199.11,,,,,,,,,,,,,,,,
AAE-O5,AAE,O,5,O5,11,125,43804.5637,54978.9105,54588.56,59482.8157,,,,,,,,,,,,,,,,
AAE-P1,AAE,P,1,P1,16,141,50409.84,68654.47,67837.48,75521.01,9,84,52609.18,72135.83,70887.88,79777.26,9,84,4.63500%,5.37450%,5.40030%,6.04900%,,,,
AAE-P2,AAE,P,2,P2,16,200,70186.64,80039.26,80735.60,94841.51,10,126,74929.83,86252.41,85062.13,105093.29,10,126,5.98780%,7.34520%,7.38120%,9.95350%,,,,
AAE-P3,AAE,P,3,P3,17,212,80279.90,100710.15,98645.59,104205.03,13,149,85298.53,108831.24,106850.51,114532.33,13,149,6.17790%,8.02850%,8.10480%,10.61770%,,,,
AAE-P4,AAE,P,4,P4,18,238,101333.20,122739.40,122690.30,135744.43,15,152,111240.11,137100.98,132549.23,156455.52,15,152,10.44170%,12.66740%,12.85230%,15.70500%,,,,
AAE-P5,AAE,P,5,P5,14,142,145373.15,161201.26,159266.85,200797.98,12,121,163760.75,190532.31,192094.67,249762.77,12,121,13.82279%,15.79210%,15.95795%,21.09984%,,,,
AAE-T1,AAE,T,1,T1,14,126,40159.67,57359.93,56029.18,61001.42,8,67,41534.42,59577.52,60769.07,63779.12,7,66,3.68483%,4.08032%,4.03834%,4.88154%,,,,
AAE-T2,AAE,T,2,T2,14,187,55231.61,63612.80,62143.34,77655.22,8,111,57709.01,66762.09,66942.35,84589.86,10,108,4.56211%,5.41121%,6.41943%,8.66154%,,,,
AAE-T3,AAE,T,3,T3,15,200,68062.88,81192.09,82913.36,97680.48,12,131,72170.28,87332.90,86398.44,106778.08,11,139,5.30064%,6.98560%,7.22624%,8.77022%,,,,
AAE-T4,AAE,T,4,T4,14,218,76119.53,100898.60,102795.49,104303.24,12,143,81890.61,111018.54,109331.05,116754.33,14,132,7.87320%,10.30796%,9.29368%,11.61177%,,,,
AAE-T5,AAE,T,5,T5,12,128,114481.47,135876.10,138675.15,139358.49,10,102,127260.57,154191.76,151693.85,162231.55,11,99,10.20969%,12.16066%,12.18491%,15.42708%,,,,
AAF-A1,AAF,A,1,A1,7,92,36604.51,41590.71,41278.77,46714.04,,,,,,,,,,,,,,,,
AAF-A2,AAF,A,2,A2,9,71,45929.90,48500.03,48854.08,55877.46,,,,,,,,,,,,,,,,
AAF-A3,AAF,A,3,A3,8,75,49338.53,56042.04,56647.29,66344.70,,,,,,,,,,,,,,,,
AAF-A4,AAF,A,4,A4,8,77,54762.14,73848.28,74874.77,73609.74,,,,,,,,,,,,,,,,
AAF-A5,AAF,A,5,A5,7,67,64838.86,84804.00,84481.75,75570.72,,,,,,,,,,,,,,,,
AAF-L1,AAF,L,1,L1,6,75,92181.73,104933.84,106717.71,111900.79,5,46,99995.47,114385.79,111194.43,123663.98,5,46,7.96960%,9.40704%,9.58858%,10.34870%,,,,
AAF-L2,AAF,L,2,L2,7,73,114259.22,131695.83,128759.01,158645.29,6,55,124940.62,146686.86,142873.00,178108.81,6,55,8.63985%,11.09524%,11.24610%,12.37341%,,,,
AAF-L3,AAF,L,3,L3,8,84,120887.18,152557.64,149735.32,177473.88,8,68,137544.48,176962.84,171795.52,210825.78,8,68,13.12698%,15.95564%,16.14684%,19.00528%,,,,
AAF-L4,AAF,L,4,L4,8,96,160578.39,189730.70,189351.24,213026.56,7,69,191513.35,233022.15,233907.63,269443.08,7,69,19.01936%,22.74000%,22.79000%,28.44000%,,,,
AAF-L5,AAF,L,5,L5,,,197637.57,251118.33,,284646.76,,,,,,,,,,,,,,,,
AAF-O1,AAF,O,1,O1,7,88,27930.80,33219.60,33521.90,34432.55,,,,,,,,,,,,,,,,
AAF-O2,AAF,O,2,O2,8,68,33844.61,37194.43,37447.35,43186.87,,,,,,,,,,,,,,,,
AAF-O3,AAF,O,3,O3,8,80,35378.07,42272.57,42268.35,50274.12,,,,,,,,,,,,,,,,
AAF-O4,AAF,O,4,O4,7,76,42092.56,53432.43,52000.44,54889.70,,,,,,,,,,,,,,,,
AAF-O5,AAF,O,5,O5,,,,,,,,,,,,,,,,,,,,,,
AAF-P1,AAF,P,1,P1,8,68,54889.79,67385.84,68194.47,78111.06,5,37,57540.02,71302.26,70532.20,83736.29,5,37,4.92480%,5.85940%,5.84940%,6.83910%,,,,
AAF-P2,AAF,P,2,P2,8,106,79245.84,84912.03,86279.11,100550.79,5,67,84620.95,92136.90,90552.15,109930.19,5,67,6.31350%,7.61400%,7.67950%,8.57870%,,,,
AAF-P3,AAF,P,3,P3,8,95,80610.06,104275.74,101376.88,110946.09,6,68,85822.62,112644.44,112058.69,122416.68,6,68,6.99750%,8.31060%,8.42610%,10.30180%,,,,
AAF-P4,AAF,P,4,P4,9,135,107433.62,125602.12,127636.87,149800.38,7,92,118468.77,140772.83,138393.77,177740.70,7,92,9.99280%,12.87400%,12.80960%,18.25020%,,,,
AAF-P5,AAF,P,5,P5,7,83,163216.86,179032.80,174055.69,207294.47,6,66,178691.75,217214.69,210046.60,230244.54,6,66,14.29676%,16.99565%,17.04327%,19.08954%,,,,
AAF-T1,AAF,T,1,T1,7,67,44302.64,56523.25,56568.46,65778.34,5,29,44302.64,56523.25,57314.57,65778.34,,,,,,,,,,
AAF-T2,AAF,T,2,T2,7,87,65100.55,65766.73,63846.34,72406.31,5,53,68386.85,69994.36,71184.26,77019.60,5,61,4.90054%,6.34322%,6.39011%,6.63134%,,,,
AAF-T3,AAF,T,3,T3,8,83,66919.25,81314.68,80330.77,95364.19,5,65,71290.30,87689.57,86803.90,103815.39,5,65,5.84361%,6.69751%,6.32884%,8.65660%,,,,
AAF-T4,AAF,T,4,T4,8,123,76346.62,102527.88,103604.42,110361.23,6,84,81919.72,113626.13,111160.44,126330.48,6,83,7.43746%,10.52718%,10.80136%,13.78163%,,,,
AAF-T5,AAF,T,5,T5,7,70,116462.90,141488.98,142054.94,141706.22,5,54,129676.82,161127.83,155987.85,163994.21,5,52,11.47966%,13.04238%,13.60630%,15.74998%,,,,
AAG-A1,AAG,A,1,A1,47,691,29679.35,38974.00,39009.08,38382.43,10,103,30667.37,40579.69,39394.77,40417.20,9,126,3.21519%,4.08964%,4.30843%,5.05511%,,,,
AAG-A2,AAG,A,2,A2,51,427,35160.19,43868.69,42714.94,49406.43,14,102,36585.04,46064.80,45590.33,52770.28,14,98,4.11875%,4.82469%,5.04722%,6.83861%,,,,
AAG-A3,AAG,A,3,A3,47,525,39405.60,49007.53,50031.79,57575.66,15,136,41051.93,51646.42,51532.80,62096.29,15,133,4.32048%,5.56208%,5.46465%,7.81023%,,,,
